name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Annihilation Bear,an,annihilation bear,?,3213,Household Items,Dolls and Bears,-,7.24,no,yes,yes,-,-,-,-,-,-,43.00,-,yes,-,"120,000 - 500,000",0,0,-,-,Looks the same as the [[Teddy Bear]].\nThis can be obtained in the [[Annihilator Quest]] in a [[Present|Present Box]].,-,-,-,-,-,-,I braved the Annihilator and all I got is this lousy teddy bear.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Arrow,an,arrow,?,3447,Weapons,Ammunition,-,3.0,no,yes,yes,0,-,-,-,-,-,0.70,yes,yes,Arthom the Hunter | Elf | Elf Arcanist | Elf Scout | Emerald Damselfly | Hero | Hunter | Memory of an Elf | Omruc | Poacher | Salamander | Troll Champion,1 - 3,0,3,"Asnarus, Blind Orc;10x, Cedrik, Coltrayne, Dario, Edoch, Eliyas, Galuna, Gnomerrow, Irea, Maun, Mugruu, Perac, Perod, Pompan, Raffael, Robert, Silas, Taegen, Timur, Vincent, Willard, Xed",-,"Arrows are projectiles, fired out of a [[Bow]], they are used mainly by [[Paladin]]s. [[Paladin]]s can make 10 of them by casting the [[Conjure Arrow|Conjure Arrow spell]] (1 [[Soul Point|soul point]] spent).\nCan be obtained in [[Rookgaard]] through the [[Minotaur Hell Quest]] and [[Bear Room Quest]].<br />\n12 of these are needed for [[The Postman Missions Quest]].",-,-,-,-,-,-,-,-,25,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Axe,an,axe,?,3274,Weapons,Axe Weapons,Weapon Hand,5.0,no,yes,yes,0,-,-,1,-,-,40.00,-,yes,Bandit | Crazed Dwarf | Crypt Defiler | Dwarf | Dwarf Miner | Grave Robber | Lumbering Carnivor | Minotaur | Minotaur Bruiser | Nomad (Basic) | Nomad (Blue) | Nomad (Female) | Orc | Salamander Trainer | Troll-Trained Salamander | Usurper Commander | Werehyaena | White Lion | Wild Warrior,7-10,7,20,"Baltim, Brengus, Cedrik, Coltrayne: 20, Esrik, Flint, Gamel, Habdel, Hardek, Lee'Delle: 18, Memech, Morpel, Obi: 20, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Baltim, Brengus, Cedrik, Coltrayne: 7, Esrik, Flint, Gamel, Habdel, Hardek, H.L.: 6, Lee'Delle: 7, Memech, Morpel, Obi: 7, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Not very useful, however cheap to buy in [[Rookgaard]] for lower [[level]]s.",-,6,-,yes,-,-,-,-,12,7,18,One,Axe,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Axe Ring,an,axe ring,-,3092,Tools and other Equipment,Rings,Finger,7.1,no,yes,yes,-,-,-,-,axe fighting +4,-,0.90,-,yes,Arachnophobica | Dwarf Guard | Dwarf Soldier | Enslaved Dwarf | Madareth | Memory of a Dwarf | Plaguesmith,100 - 500,100,500,Haroun,Haroun,"Axe Rings increase the [[Axe Fighting]] skill by four points, for 30 minutes.\nObtainable in the [[Orc Shaman Quest]].",-,-,-,-,-,-,-,30 minutes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Backpack,a,backpack,-,2854,Household Items,Containers,Container,3.0,no,yes,yes,-,-,1,-,-,-,18.00,no,yes,-,Negotiable,0,10,"Al Dee: 10, Iriana, Lee'Delle: 9, Maro, Lubo: 25, Pompan: 20, Raffael: 20, Rafzan, Richard: 10, Rock In A Hard Place:20, Zora: 20, Zethra",-,See [[Backpacks]] for general information regarding backpacks.,They were dropped by [[Orc Leader]]s and [[Orc Rider]]s prior to the [[Updates/8.6|Summer Update 2010]].<br />\nThe backpack used to look like this: [[File:Backpack (Old).gif]],-,-,yes,-,-,-,-,-,0,9,-,-,-,Backpacks,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Backpack of Holding,a,backpack of holding,-,3253,Household Items,Containers,Container,7.3,no,yes,yes,-,-,1,-,-,-,15.00,no,yes,-,"50,000 - 120,000",0,0,-,-,Obtained in the [[Pits of Inferno Quest]].\n\nSee [[Backpacks]] for general information regarding backpacks.,"* Although this item was implemented in [[Updates/7.3|Summer Update 2004]], it only became obtainable after the [[Updates/7.9|Christmas Update 2006]].",-,-,yes,-,-,-,-,-,-,-,-,-,-,Backpacks,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bag,a,bag,bags,2853,Household Items,Containers,Container,1.0,no,yes,yes,-,-,-,-,-,-,8.00,no,yes,-,Negotiable,0,4,"Al Dee: 4, Iriana: 5, Lee'Delle: 4, Pompan: 5, Rafzan, Richard: 4, Zethra, Zora: 5",-,"Players often threw bags on the ground, so you could easily find them all around [[Tibia]]. See [[Bags]] for more information about other types and colors of bags. It looks the same as [[Belongings of a Deceased]], [[Belongings of a Deceased (The Ravager)]], [[Belongings of a Deceased (Death Priest Shargon)]] and a [[Loot Bag (Item)]].","They used to be dropped by almost every kind of [[Creatures|creature]], but this was changed in the [[Updates/8.6|2010 Summer Update]].",-,-,yes,-,-,-,-,-,0,4,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banana,a,banana,bananas,3587,"Plants, Animal Products, Food and Drink",Food,-,5.1,no,yes,yes,-,-,-,-,-,-,1.80,yes,yes,Cursed Ape | Hairman the Huge | Kongra | Merlkin | Sibang | Vulcongra,1-2,0,2,"Alissa: 3, Ariella: 5, Bonifacius, Brasith, Christine: 5, Hairycles, Imalas, Jezzara:5, Livielle: 5, Omur: 3, Ramina: 7, Relaxed Bartender, Serafin: 5, Vigintius: 3",-,"They provide one of the highest regeneration seconds per gold (only ham, bread and meat are better) and are quite light.<br />Every character can pick one of these from [[Banana Palm]]s once.\nBananas can be found as part of the [[Studded Shield Quest]] on [[Rookgaard]]. 1 is needed in [[The Paradox Tower Quest]] and you need 2 for the [[Hot Cuisine Quest]].",-,-,-,yes,-,{{Sound List|Yum.}},-,-,-,16,0,-,-,-,-,-,yes,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banana Skin,a,banana skin,?,3104,Other Items,Rubbish,-,4.0,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,Animated Guzzlemaw | Frazzlemaw | Guzzlemaw | Memory of a Frazzlemaw,Negotiable,0,0,-,-,"One is needed during the [[Postman Quest]]. Many can be found throughout [[Thais Troll Cave]], some in [[Thais]] [[Wasp]] cave, Thais [[bat]] cave, and in [[Nargor]]. Can also be found in [[Troll]] caves around the world.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banana Staff,a,banana staff,?,3348,Weapons,Club Weapons,Weapon Hand,7.5,no,yes,yes,0,-,-,2,-,-,50.00,-,yes,Merlkin,"5,000 - 20,000",1000,0,-,Brengus,Needed for an addon of [[Shaman Outfits]].,With the [[Updates/9.5|spring patch 2012]] the sprite of Banana Staff changed from [[File:Banana Staff (Old).gif]] to [[File:Banana Staff.gif]].,15,-,yes,-,-,-,-,25,-,-,One,Club,no,-,-,-,-,+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barbarian Axe,a,barbarian axe,barbarian axes,3317,Weapons,Axe Weapons,Weapon Hand,6.4,no,yes,yes,20,-,2,1,-,-,51.00,-,yes,Parder,185 - 590,185,590,"Morpel, Willard","H.L.: 30, Morpel, Willard",Reward in [[Barbarian Axe Quest]].,"With the [[Updates/9.5|spring patch 2012]] the sprite of Barbarian Axe changed from [[File:Barbarian Axe (Old).gif]] to [[File:Barbarian Axe.gif]].<br />\nFrom [[Updates/8.1|Christmas Update 2007]] until [[Updates/11.40|Summer Update 2017]], it could be transformed into the following [[Enchanted Weapons]] through the process known as [[Enchanting]]:\n* {{Ilink|Icy Barbarian Axe}} [[Icy Barbarian Axe]]\n* {{Ilink|Earth Barbarian Axe}} [[Earth Barbarian Axe]]\n* {{Ilink|Energy Barbarian Axe}} [[Energy Barbarian Axe]]\n* {{Ilink|Fiery Barbarian Axe}} [[Fiery Barbarian Axe]]\nThese sprites are now used for their respective [[replicas]].",18,-,yes,-,{{Sound List|}},-,-,28,-,-,One,Axe,yes,-,-,-,-,+1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Basket,a,basket,?,2855,Household Items,Containers,-,5.1,no,yes,yes,-,-,-,-,-,-,9.50,-,yes,-,6,0,6,"Ahmet, Bashira, Beatrice, Bertha, Bezil, Gladys, Gorn, Gree Dee, Halif, Lubo, Maro, Maun, Nezil, Perod, Pompan, Red Lilly, Rock In A Hard Place, Sarina, Shiantis, Tefrit, Timur, Zora",-,"It can be found as a daily spawn in the house of [[Rottin Wood]], in a [[drawer]] in [[Wyda]]'s house and in [[Maze of Lost Souls]].",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bast Skirt,a,bast skirt,?,3560,Body Equipment,Legs,Legs,7.5,no,yes,yes,-,-,-,-,-,0,3.50,no,yes,Dworc Venomsniper,"750 - 15,000",750,0,-,Brengus,Mostly used for decoration. Since the [[Updates#Update 7.8. August 1.2C 2006|Summer Update 2006]] they have become quite '''valuable''' because they are required in a [[Quests|quest]] which correspond with many other quests.<noinclude><br/>3 are needed for [[The Sweaty Cyclops Quest]].<br />It can be obtained from [[Shaggy Ogre Bag]]s.</noinclude>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Battle Axe,a,battle axe,?,3266,Weapons,Axe Weapons,Both Hands,1.0,no,yes,yes,0,knights,-,1,-,-,50.00,-,yes,Barbarian Bloodwalker | Bellicose Orger | Cyclops Smith | Dwarf Soldier | Gozzler | Orc Berserker | Orc Cult Inquisitor | Orger | Young Sea Serpent,100 - 300,80,235,"Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, H.L.: 40, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard",Good [[loot]] from all locations where you can find [[Orcs]] and [[Dwarves]].\nReward in [[Battle Axe Quest]].,With the [[Updates/9.5|spring patch 2012]] the sprite of Battle Axe changed from [[File:Battle Axe (Old).gif]] to [[File:Battle Axe.gif]].,10,-,yes,-,-,-,-,25,-,-,Two,Axe,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Battle Hammer,a,battle hammer,?,3305,Weapons,Club Weapons,Weapon Hand,3.0,no,yes,yes,0,-,-,1,-,-,68.00,-,yes,Black Knight | Cyclops Smith | Demon Skeleton | Dwarf Guard | Memory of a Dwarf | Plaguesmith | Tortoise | Young Sea Serpent | Zombie,120 - 350,120,350,"Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, H.L.: 40, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Good [[Club Weapons|Club Weapon]] for low to mid [[level]]s, but in the most cases a [[Morning Star]] is a better choice.<br />\nIt looks the same as a [[Giant Smithhammer]], a [[Hammer of Mighty Cheating]] and a [[Trunkhammer]].<br>\nReward in the [[Light House Quest]].<br/>",-,14,-,yes,-,-,-,-,24,-,-,One,Club,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Battle Shield,a,battle shield,?,3413,Body Equipment,Shields,Shield Hand,4.0,no,yes,yes,-,-,-,-,-,-,62.00,no,yes,Assassin | Cyclops | Cyclops Drone | Cyclops Smith | Demon Skeleton | Dwarf Guard | Elf Overseer | Foreman Kneebiter | Frost Giant | Frost Giantess | Gargoyle | General Murius | Hellspawn | Memory of a Dwarf | Memory of a Pirate | Minotaur Guard | Mutated Bat | Orc Rider | Pirate Buccaneer | Rukor Zad | The Horned Fox | War Golem,95,95,0,-,"Azil, Baltim, Brengus, Cedrik, Cornelia, Esrik, Flint, H.L.: 50, Hardek, Kroox, Memech, Morpel, Robert, Rock In A Hard Place, Sam, Shanar, Turvy, Ulrik, Willard, Yanni","Rarely used as a [[Shields|shield]] due to its low [[defense]] and heavy [[ounce|weight]]. It is a good item for [[Loot Bag]]s, as [[NPC]]s at [[shop]]s buy them for a good price.",-,23,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beer,a,vial of beer,vials of beer,-,"Plants, Animal Products, Food and Drink",Liquids,-,3.0,no,-,yes,-,-,-,-,-,-,1.80,-,-,-,Negotiable,0,2,"Arito;mug, Armenius: 3;mug, Bolfona;mug, Boozer;mug, Clyde;mug, Innkeeper Alphonse;mug,Jimbin;mug, Karl: 20;mug, Maria;mug, Mirabell;mug, Norma: 3;mug, Pugwah: 3;mug, Satsu: 52;cocktailglass, Snake Eye: 5;mug, Swolt;mug, Urkalio;mug",-,"When you drink beer, you become temporarily drunk and not able to move correctly. Each drink gets you drunk for 2 more minutes up to a limit of ten minutes. You can also get beer by using any [[Containers#Fluid Containers|liquid container]] on a [[Beer Cask]]. When buying beer from a pub, it will usually come in a [[Mug]].<br>Looks the same as a [[Flask with Magical Oil]], a [[Flask with Oil and Blood]], and vials of [[Mead]], [[Mud]], [[Oil]], [[Rum]] and [[Tea]].\n2 [[vial]]s of beer are needed in the [[Hot Cuisine Quest]].",-,-,-,-,-,{{Sound List|Aah...}},-,-,-,0,3,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Big Bone,a,big bone,big bones,3116,Other Items,Rubbish,-,6.0,no,yes,yes,-,-,-,-,-,-,19.00,yes,yes,Ancient Lion Knight | Animated Guzzlemaw | Behemoth | Biting Book | Dreadbeast | Dworc Voodoomaster | Frazzlemaw | Ghazbaran | Gore Horn | Guzzlemaw | Hellhound | Massacre | Memory of a Frazzlemaw | Necropharus | Oodok Witchmaster | Pirate Skeleton | Stonecracker | The Handmaiden | Weakened Frazzlemaw,Negotiable,0,0,-,-,It doesn't have any practical use. It can be found in some junk piles through Tibia.,-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
